nome_breve,nome_esteso,indirizzo
NSS,Nuovi Spazi al Servire - Istituto per la Cooperazione con i Paesi in via di Sviluppo,"via Santa Liberata, 21 - 24043 Caravaggio (BG)
Tel. 0363/40974 Fax 0363/41757 
nuovispazi.nss@libero.it"
NTC,Nessuno Tocchi Caino,"Sede Legale Rue Belliard, 89 - 1047  Bruxelles
info@nessunotocchicaino.it"
NUOVO VILLAGGIO DEL FANCIULLO,Fondazione,"Via 56 Martiri, 79 - 48100  Ravenna
Tel. 0544/601111  Fax 0544/61379  
villaggiofanciullo@libero.it"
OAF-I,Organizzazione di Aiuto Fraterno Italia Ong-Onlus,"Corso Marconi, 7 - 10125 Torino
Tel. 011/6699513 Fax 011/6508053 
info@oafi.org"
OPAM,Opera di Promozione dell'Alfabetizzazione nel Mondo,"Via Pietro Cossa, 41 - 00193 Roma
Tel. 06/3203317 – 3203318 – 3203320  Fax 06/3203261 
ufficiostampa@opam.it"
OPERA DON BONIFACIO,Opera don Bonifacio-Azione verde onlus,"Via Piemonte, 3 - 75100 Matera
Tel. e Fax 0835/388805  
info@azioneverde.org"
OSA,Organizzazione Sviluppo e integrAzione - ONLUS,"Sede legale Via Mazzini, 66 - 92100 Agrigento 
info@ongosa.org"
OSVIC,Organismo Sardo di Volontariato Internazionale Cristiano,"Via Goito, 25 - 09170 Oristano
Tel. 0783/71817  
osvicor@tiscalinet.it"
OVCI,Organismo di Volontariato per la cooperazione Internazionale,"Via Don Luigi Monza, 1 - 22037 Ponte Lambro (CO)
Tel. 031/625311  Fax 031/625243 
ovci@pl.Inf.it"
OVERSEAS,Organizzazione per lo sviluppo globale di comunità in Paesi extraeuropei,"Via Castelnuovo Rangone, 1190/2 - 41057 Spilamberto (MO)
Tel. 059/784464  Fax 059/785425 
overseas@overseas-onlus.org"
OXFAM,Unità e cooperazione per lo sviluppo dei popoli,"Via Concino Concini, 19  - 52100 Arezzo
Tel. 0575/182481 Fax 0575/1824872 
info@ucodep-org"
PCN,Persone Come Noi Onlus,"Via Castelletto, 11 - 12022  Busca (CN)
Tel. e Fax 0171/936146  
info@personecomenoi.org"
PdF,Punto di Fraternità,"Mura di San Bernardino, 15 - 16122 Genova
Tel. e Fax 010/3742069   
fraterni@tiscalinet.it"
PERIGEO,Perigeo International People Community,"13, Contrada Saline  - 62020 Penna San Giovanni (MC)
tel: 0733 669332"
PGG,Parma per gli altri,"Piazza Duomo, 3 - 43121 Parma
Tel. e Fax 0521/236758   
segreteria@parmaperglialtri.it"
PICCOLI PROGETTI POSSIBILI,Associazione Piccoli Progetti Possibili,"via Piras, 8  - 09036 Guspini (VS)
070.970529  070.970052 
piccoliprogetti@tiscali.it"
PISIE,Politecnico Internazionale per lo Sviluppo Industriale ed Economico,"Via della Scala, 11 - 50123 Firenze
Tel. 055/2658178  
pisie@pisie.it"
PRO.DO.CS.,Progetto Domani: Cultura e Solidarietà,"Via Etruria, 14/c - 00183 Roma
Tel. 06/77072773  Fax 06/7003710  
prodocs@prodocs.org"
PRO.MOND,Progetto Mondialità,"Piazza Garibaldi, 67 - 70122 Bari
Tel. 080/5212811  Fax 080/5240461 
promond@tin.it"
PRO.SA,Fondazione per la promozione umana e la salute,"Via Lepetit, 4 - 20124 Milano
Tel. 02/67100990  Fax 02/67492081 
info@fondazioneprosa.org"
PROGETTO CONTINENTI,Progetto Continenti,"Via Antonino Pio, 40 - 00145 Roma
Tel. 06/59600319 - 06/54224451 Fax 06/59600319 
info@progettocontinenti.org"
PROGETTO MONDO MLAL,Associazione ProgettoMondo Movimento Laici America,"Viale A. Palladio, 16 - 37138 Verona
Tel. 045/8102105  Fx 045/8103181  
info@mlal.org"
PROGETTO SUD,Progetto Sud,"Via Lucullo, 6 - 00187 Roma
Tel. 06/4744753-5  Fax 06/4744751 
prosud@uil.it"
PROSVIL,Progetto Sviluppo,"Via di Santa Teresa, 23 - 00198 Roma
Tel. 06/8411741  Fax 06/8419709  
segreteria@prosvil.it"
PUNTOAPUNTO,Agenzia n.1 di Pavia per Ayamé,"Sede sociale e legale c/o Fondazione Ferrara-Storti via Belli, 4 - 27100 Pavia
Tel.0382/987288 Fax 0382/984252 
info@puntoapunto.org"
RC,Ricerca e Cooperazione,"Via Savona, 13/a - 00182 Roma
Tel. 06/88816140  
ongrc@ongrc.org"
RE.TE.,Associazione di tecnici per la solidarietà e cooperazione internazionale,"Corso Giulio Cesare, 69/9  - 10155 Torino
Tel. 011/7707388 Fax 011/7707410  
rete@arpnet.it"
REACH ITALIA ONLUS,Reach Italia Onlus,"Viale Molise,1 - 20092  Cinisello Balsamo (MI)
Tel. 02/66040062 - 02/6175579 Fax 02/66010030 
info@reachitalia.it"
RTM,Reggio Terzo Mondo,"Sede legale Via San Girolamo, 24 - 42100 Reggio Emilia
info@reggioterzomondo.org"
S.O.S. MISSIONARIO,Organismo di Solidarietà Internazionale,"Via Giovanni XXIII, 23 - 63039  San Benedetto del Tronto (AP)
Tel. e Fax 0735/585037  
info@sosmissionario.it"
SAVE THE CHILDREN,Save the Children,"via Volturno, 58 - 00185 Roma
Tel. 06/4807001  Fax 06/48070039 
info@savethechildren.it"
SCAIP,Servizio Collaborazione Assistenza Internazionale Piamartino,"Via Enrico Ferri, 75 - 25123 Brescia
Tel. 030/2306873  Fax 030/2309427  
info@scaip.it"
SCI,Servizio Civile Internazionale,"Via Alessandro Cruto, 43 - 00146 Roma
Tel. 06/5580644 Fax 06/5585268 
info@sci-italia.it"
SCSF,Solidarietà e Cooperazione senza Frontiere,"Viale Antonio Silvani, 3/8 - 40122 Bologna
Tel. e Fax 051/220637  
info@scsf.it"
SENZACONFINI Onlus,Senzaconfini onlus,"via Makallè, 7 - 00199 Roma
Tel. 06/64811110  
senzaconfini.onlus@libero.it"
SES,Salute e sviluppo,"Piazza della Maddalena, 53 - 00186  Roma
Tel. 06/89928151/2/3/4 Fax 06/89928155  
info@salutesviluppo.org"
SEV'84,Servizio Esperti Volontari Orione '84,"Via Cavour, 238 - 00184  Roma
Tel. 06/4746148  Fax 06/47882525  
info@sev84.org"
SINERGA,Associazione per la Cooperazione Tecnica e Sociale Internazionale,"Sede legale Vicolo Lambro, 1 - 20052  Monza
Tel. 039-2328491  
ong.sinerga@gmail.com"
SJAMO,San José Amici nel Mondo,"Via lungo Centa Croce Bianca, 12 - 17031 Albenga (SV)
Tel. 0182/51854 Fax 0182/1980182 
info@sjamo.it"
SOLETERRE,SoleTerre-strategie di pace onlus,"Sede legale Via Bazzini, 4 - 20131 Milano
02/45911010 02/23951365 
info@soleterre.org"
SOLIDARIETA' E SERVIZIO,Solidarietà e servizio,"Viale Francesco Baracca, 21 - 01100  Viterbo
Tel. 0761/347190 Fax 0761/3378440 
presidente@solidarietaeservizio.it"
SULLA STRADA,Associazione Onlus Sulla Strada,"Via Ugo Foscolo,11 - 05012 Attigliano (TR)
Tel. e Fax 0744/992760   
info@sullastradaonlus.it"
SVI,Servizio Volontario Internazionale,"Viale Venezia, 116 - 25123  Brescia
Tel.030/3367915 - 3361756  Fax 030/3361763  
info@svibrescia.it"
TAMAT,TamaT,"Via Dalmazio Birago, 65 - 06124 Perugia
Tel. 075/5055654 Fax 075/5156151 
tamatpg@tin.it"
TDH ITALIA,Terre des hommes Italia ONLUS,"Viale Monza, 57 - 20127  Milano
Tel. 02/28970418 Fax 02/26113971 
info@tdhitaly.org"
TEN,Terra Nuova,"Via Gran Bretagna, 18 - 00196 Roma
Tel. 06/8070847 Fax 06/80662557 
info@terranuova.org"
TERRE SOLIDALI,Terre Solidali Onlus,"piazza Tre Martiri, 6 - 28010  Nebbiuno (NO)
fax + 39 02 47789250  
terresolidali@terresolidali.org"
TRASPARENCY INTERNATIONAL,Transparency International Italia,"Via Zamagna, 19 - 20148 Milano
Tel. 02.40093560 Fax 02.406829 
info@trasparency.it"
UMMI,Unione Medico Missionaria Italiana,"Viale Rizzardi, 4 - 37024  Negrar (VR)
Tel. 045/7500501 Fax 045/6000847  
ummivr@sacrocuore.it"
UN PONTE PER...,Un ponte per...,"Piazza Vittorio Emanuele II, 132 - 00185  Roma 
Tel. 06/44702906  Fax 06/44703172 
info@unponteper.it"
UVISP ASSISI,Unione Volontariato Internazionale per lo Sviluppo e la Pace,"Zona industriale ovest, settore H - 06083 Bastia Umbra (PG)
Tel. 075/8004667  Fax 075/8004748 
info@uvisp.org"
VENTO DI TERRA,Vento di terra onlus,"Via Franchi Maggi, 94 - 20089 Rozzano (MI)
Tel. 02/39432116  
ventoditerra@ventoditerra.org"
VIDES,Volontariato Internazionale Donna Educazione Sviluppo,"Via di San Saba, 14 - 00153 Roma
Tel. 06/5750048  Fax 06/5750904 
videsitalia@videsitalia.it"
VIS,Volontariato Internazionale per lo Sviluppo,"Via Appia Antica, 126 - 00179 Roma
Tel. 06/516291  Fax 06/51629299 
vis@volint.it"
VISBA,Volontari Internazionali Scuola Beato Angelico,"Sede legale Via San Gimignano, 19 - 20146 Milano
Tel. 02/48302857  
mcericola@racine.ra.it"
VISES,Volontari per Iniziative di Sviluppo Economico e Sociale,"Via Ravenna,14 - 00161 Roma
Tel. 06/44070272 Fax 06/44070271 
vises@federmanager.it"
VISPE,Volontari Italiani per la Solidarietà ai Paesi Emergenti,"Sede legale Via della Chiesa, 3 - 20084 Casirate di Lacchiarella (MI)
Tel. 02/90096317   
info@vispe.it"
VPM,Voci di Popoli del Mondo,"Via Lugnano in Teverina, 9 - 00181  Roma
Tel. 06/78851787 Fax. 06/78388131 
info@ongvpm.org"
WE WORLD O.N.L.U.S.,WE WORLD O.N.L.U.S. ex INTERVITA,"Sede legale e operativa Via Serio, 6  - 20139  Milano 
Tel. 02/55231193 Fax 02/56816484 
info@intervita.it"
WF,World Friends Onlus - Amici nel mondo,"Via Charles Lenormant, 211 - 00119 Roma
Tel. e Fax 06/50917635  
info@world-friends.org"
WWF ITALIA,Fondo Mondiale per la Natura,"Via Po, 25/c - 00198 Roma
Tel. 06/844971 Fax 06/8554410 
posta@wwf.it"
